text,intent
my family,support_people
my friends support me,support_people
mum and dad back me,support_people
my sister is my rock,support_people
my brother helps heaps,support_people
my cousins are there for me,support_people
i talk to my auntie when i'm stressed,support_people
uncle gives solid advice,support_people
my nan and pop check in,support_people
my whole mob has my back,support_people
my best mate sarah,support_people
the girls from school help me,support_people
a teacher i trust,support_people
my youth worker is great,support_people
my partner listens,support_people
my girlfriend is supportive,support_people
the boys look out for me,support_people
people from the community centre,support_people
elders in my community guide me,support_people
my footy coach backs me,support_people
my therapist helps a lot,support_people
my counselor,support_people
my foster parents are kind,support_people
my work mates are supportive,support_people
the people i live with are good,support_people
my dog is always there for me lol,support_people
my church mob,support_people
my study group,support_people
my big sis is deadly support,support_people
my aunties check on me,support_people
i'm good at sport,strengths
i'm a fast runner,strengths
i can play guitar,strengths
i love drawing,strengths
i'm creative,strengths
i'm a good friend,strengths
i'm loyal,strengths
i'm funny,strengths
i make people laugh,strengths
i'm kind,strengths
i help my family,strengths
i'm good at listening,strengths
i can sing pretty well,strengths
i'm proud of my art,strengths
i'm a hard worker,strengths
i'm good at cooking,strengths
i'm a great gamer,strengths
i can fix things,strengths
i'm resilient,strengths
i've been through a lot and kept going,strengths
i'm smart,strengths
i do alright at school,strengths
i help when people are sad,strengths
good with kids,strengths
i am a grate cook,strengths
im good at sportz,strengths
i can write stories,strengths
deadly at footy,strengths
i care for my siblings,strengths
i’m honest,strengths
i’m a solid yarn spinner,strengths
staying positive is my thing,strengths
i pick things up quick,strengths
i'm organized with money,strengths
i learn tech fast,strengths
i worry about school,worries
exams stress me out,worries
homework is too much,worries
i'm worried about my future,worries
anxious about getting a job,worries
money is a big stress,worries
family keeps fighting,worries
parents split up,worries
trouble with friends,worries
relationship drama,worries
feeling lonely a lot,worries
worried about my health,worries
my mental health isn't good,worries
feeling depressed lately,worries
bullying at school,worries
peer pressure sucks,worries
scared about what's next,worries
not sure what to do with life,worries
worried about my nan being sick,worries
got some helth problems,worries
failing a class maybe,worries
drama with my mates,worries
what people think of me,worries
worried about climate change,worries
world feels like a mess,worries
afraid i’ll let my mob down,worries
worried about rent,worries
worry i’ll lose my job,worries
unsafe at home sometimes,worries
i stress about transport and license,worries
i want to finish school,goals
my goal is to graduate,goals
i want to get a job,goals
find work i enjoy,goals
i want to go to uni,goals
i plan to study TAFE,goals
i want to learn an instrument,goals
be healthier,goals
get fit,goals
i want to be happy,goals
i hope to feel better,goals
improve my relationships,goals
fix things with my dad,goals
save money,goals
get my driver's license,goals
travel one day,goals
make my family proud,goals
be more confident,goals
start my own business,goals
learn my language,goals
connect with culture,goals
be a role model,goals
help my community,goals
move out of home,goals
get my own place,goals
get my apprenticeship,goals
my gole is to be happy,goals
