1) support_people

text,intent "my family",support_people
text,intent "my friends support me",support_people
text,intent "mum and dad back me",support_people
text,intent "my sister is my rock",support_people
text,intent "my brother helps heaps",support_people
text,intent "my cousins are there for me",support_people
text,intent "i talk to my auntie when i'm stressed",support_people
text,intent "uncle gives solid advice",support_people
text,intent "my nan and pop check in",support_people
text,intent "my whole mob has my back",support_people
text,intent "my best mate sarah",support_people
text,intent "the girls from school help me",support_people
text,intent "a teacher i trust",support_people
text,intent "my youth worker is great",support_people
text,intent "my partner listens",support_people
text,intent "my girlfriend is supportive",support_people
text,intent "the boys look out for me",support_people
text,intent "people from the community centre",support_people
text,intent "elders in my community guide me",support_people
text,intent "my footy coach backs me",support_people
text,intent "my therapist helps a lot",support_people
text,intent "my counselor",support_people
text,intent "my foster parents are kind",support_people
text,intent "my work mates are supportive",support_people
text,intent "the people i live with are good",support_people
text,intent "my dog is always there for me lol",support_people
text,intent "my church mob",support_people
text,intent "my study group",support_people
text,intent "my big sis is deadly support",support_people
text,intent "my aunties check on me",support_people

2) strengths

text,intent "i'm good at sport",strengths
text,intent "i'm a fast runner",strengths
text,intent "i can play guitar",strengths
text,intent "i love drawing",strengths
text,intent "i'm creative",strengths
text,intent "i'm a good friend",strengths
text,intent "i'm loyal",strengths
text,intent "i'm funny",strengths
text,intent "i make people laugh",strengths
text,intent "i'm kind",strengths
text,intent "i help my family",strengths
text,intent "i'm good at listening",strengths
text,intent "i can sing pretty well",strengths
text,intent "i'm proud of my art",strengths
text,intent "i'm a hard worker",strengths
text,intent "i'm good at cooking",strengths
text,intent "i'm a great gamer",strengths
text,intent "i can fix things",strengths
text,intent "i'm resilient",strengths
text,intent "i've been through a lot and kept going",strengths
text,intent "i'm smart",strengths
text,intent "i do alright at school",strengths
text,intent "i help when people are sad",strengths
text,intent "good with kids",strengths
text,intent "i am a grate cook",strengths
text,intent "im good at sportz",strengths
text,intent "i can write stories",strengths
text,intent "deadly at footy",strengths
text,intent "i care for my siblings",strengths
text,intent "i’m honest",strengths
text,intent "i’m a solid yarn spinner",strengths
text,intent "staying positive is my thing",strengths
text,intent "i pick things up quick",strengths
text,intent "i'm organized with money",strengths
text,intent "i learn tech fast",strengths

3) worries

text,intent "i worry about school",worries
text,intent "exams stress me out",worries
text,intent "homework is too much",worries
text,intent "i'm worried about my future",worries
text,intent "anxious about getting a job",worries
text,intent "money is a big stress",worries
text,intent "family keeps fighting",worries
text,intent "parents split up",worries
text,intent "trouble with friends",worries
text,intent "relationship drama",worries
text,intent "feeling lonely a lot",worries
text,intent "worried about my health",worries
text,intent "my mental health isn't good",worries
text,intent "feeling depressed lately",worries
text,intent "bullying at school",worries
text,intent "peer pressure sucks",worries
text,intent "scared about what's next",worries
text,intent "not sure what to do with life",worries
text,intent "worried about my nan being sick",worries
text,intent "got some helth problems",worries
text,intent "failing a class maybe",worries
text,intent "drama with my mates",worries
text,intent "what people think of me",worries
text,intent "worried about climate change",worries
text,intent "world feels like a mess",worries
text,intent "afraid i’ll let my mob down",worries
text,intent "worried about rent",worries
text,intent "worry i’ll lose my job",worries
text,intent "unsafe at home sometimes",worries
text,intent "i stress about transport and license",worries

4) goals

text,intent "i want to finish school",goals
text,intent "my goal is to graduate",goals
text,intent "i want to get a job",goals
text,intent "find work i enjoy",goals
text,intent "i want to go to uni",goals
text,intent "i plan to study TAFE",goals
text,intent "i want to learn an instrument",goals
text,intent "be healthier",goals
text,intent "get fit",goals
text,intent "i want to be happy",goals
text,intent "i hope to feel better",goals
text,intent "improve my relationships",goals
text,intent "fix things with my dad",goals
text,intent "save money",goals
text,intent "get my driver's license",goals
text,intent "travel one day",goals
text,intent "make my family proud",goals
text,intent "be more confident",goals
text,intent "start my own business",goals
text,intent "learn my language",goals
text,intent "connect with culture",goals
text,intent "be a role model",goals
text,intent "help my community",goals
text,intent "move out of home",goals
text,intent "get my own place",goals
text,intent "get my apprenticeship",goals
text,intent "my gole is to be happy",goals
text,intent "get my Ls and Ps",goals
text,intent "finish this course",goals
text,intent "pay off debts",goals

5) greeting

text,intent "hi",greeting
text,intent "hello there",greeting
text,intent "hey",greeting
text,intent "g'day",greeting
text,intent "what's up",greeting
text,intent "yo",greeting
text,intent "howdy",greeting
text,intent "good morning",greeting
text,intent "good arvo",greeting
